Fashion Week,Topic,Day,Mentions,Impressions,Engagements
3,Luxury,8,199,1088908,27
3,Luxury,9,343,1497559,29
3,Luxury,10,183,2077009,81
3,Luxury,11,200,2537009,86
3,Luxury,12,207,2055437,90
3,Luxury,13,141,1066850,37
3,Luxury,14,94,254732,14
3,Luxury,15,107,713197,34
3,Luxury,16,52,270402,13
3,Luxury,17,41,298395,10
3,Luxury,18,56,304808,39
3,Luxury,19,63,120133,16
3,Streetwear,1,26,219160,5
3,Streetwear,2,15,214464,3
3,Streetwear,3,28,436658,8
3,Streetwear,4,65,314311,5
3,Streetwear,5,41,323835,7
3,Streetwear,6,46,242877,34
3,Streetwear,7,72,134977,17
3,Streetwear,8,111,1097335,68
3,Streetwear,9,253,5355192,187
3,Streetwear,10,362,4690255,250
3,Streetwear,11,514,4756634,317
3,Streetwear,12,653,7093152,340
3,Streetwear,13,510,6587620,227
3,Streetwear,14,203,3283293,190
3,Streetwear,15,172,2992631,96
3,Streetwear,16,78,691242,89
3,Streetwear,17,56,2358131,121
3,Streetwear,18,85,514843,25
3,Streetwear,19,87,1639934,49
3,British,1,31,141185,0
3,British,2,24,106192,0
3,British,3,81,1681071,0
3,British,4,204,173154,0
3,British,5,86,322098,1
3,British,6,56,322155,1
3,British,7,90,729784,2
3,British,8,318,1801826,12
3,British,9,272,1099552,11
3,British,10,296,6749111,16
3,British,11,289,1679602,17
3,British,12,645,5309613,224
3,British,13,774,3289286,74
3,British,14,222,1664617,15
3,British,15,131,858525,16
3,British,16,78,304425,4
3,British,17,40,555402,6
3,British,18,86,588831,2
3,British,19,57,217302,1
3,Creativity,1,63,437937,11
3,Creativity,2,25,26616,3
3,Creativity,3,27,288303,3
3,Creativity,4,76,618741,37
3,Creativity,5,115,386645,19
3,Creativity,6,194,392847,61
3,Creativity,7,93,526282,5
3,Creativity,8,206,1895771,70
3,Creativity,9,360,2681833,131
3,Creativity,10,254,1534377,59
3,Creativity,11,194,2630066,61
3,Creativity,12,293,6418363,115
3,Creativity,13,267,4089537,100
3,Creativity,14,182,518078,39
3,Creativity,15,107,3779235,57
3,Creativity,16,59,47735,19
3,Creativity,17,39,1601827,37
3,Creativity,18,64,556126,4
3,Creativity,19,70,1609316,14
3,Global,1,29,62536,0
3,Global,2,19,133912,0
3,Global,3,54,1291660,0
3,Global,4,63,118804,21
3,Global,5,45,302647,1
3,Global,6,51,234130,45
3,Global,7,87,651997,23
3,Global,8,215,1678736,110
3,Global,9,172,592855,55
3,Global,10,170,5080033,32
3,Global,11,140,1547074,86
3,Global,12,408,3035265,125
3,Global,13,438,2542527,70
3,Global,14,149,815656,53
3,Global,15,98,370240,27
3,Global,16,51,209897,8
3,Global,17,31,143064,10
3,Global,18,64,1113521,4
3,Global,19,52,7945682,18
3,Diversity,1,52,478300,2
3,Diversity,2,37,154221,0
3,Diversity,3,47,1309256,2
3,Diversity,4,116,1089730,50
3,Diversity,5,99,1408551,47
3,Diversity,6,169,247287,13
3,Diversity,7,113,967070,22
3,Diversity,8,241,1740302,75
3,Diversity,9,449,1988916,1179
3,Diversity,10,350,7285004,883
3,Diversity,11,283,4514620,302
3,Diversity,12,283,3394072,103
3,Diversity,13,246,3310489,139
3,Diversity,14,210,1838328,59
3,Diversity,15,131,606331,42
3,Diversity,16,65,499291,13
3,Diversity,17,71,318462,24
3,Diversity,18,227,798955,9
3,Diversity,19,149,244705,6
3,Innovation,1,30,154871,6
3,Innovation,2,23,105473,3
3,Innovation,3,11,3399,2
3,Innovation,4,42,147986,15
3,Innovation,5,59,452319,7
3,Innovation,6,33,258479,8
3,Innovation,7,71,387537,18
3,Innovation,8,151,810328,16
3,Innovation,9,123,506398,14
3,Innovation,10,82,670659,99
3,Innovation,11,109,752237,99
3,Innovation,12,275,919990,51
3,Innovation,13,332,1500592,42
3,Innovation,14,128,276687,29
3,Innovation,15,61,221393,26
3,Innovation,16,33,89378,8
3,Innovation,17,28,298420,12
3,Innovation,18,38,80495,14
3,Innovation,19,38,82594,6
3,Emergingtalent,1,12,61944,4
3,Emergingtalent,2,7,65431,0
3,Emergingtalent,3,22,54463,0
3,Emergingtalent,4,99,47916,1
3,Emergingtalent,5,23,15586,11
3,Emergingtalent,6,25,409975,20
3,Emergingtalent,7,35,285763,9
3,Emergingtalent,8,66,633551,15
3,Emergingtalent,9,28,274028,5
3,Emergingtalent,10,151,973145,1
3,Emergingtalent,11,150,857258,22
3,Emergingtalent,12,311,4170872,288
